iButton #,Site #,Lat,Long,,Details,Collection Notes,Altitude (meters)
1,1,48.70581,-121.82470,"48°42'20.9""N 121°49'28.9""W",Buried,,1067
2,1,48.70563,-121.82434,"48°42'20.3""N 121°49'27.6""W",Tree (shaded),,1066
3,1,48.70561,-121.82412,"48°42'20.2""N 121°49'26.8""W",Tree (exposed),dangling from snag,1066
4,1,48.70561,-121.82412,"48°42'20.2""N 121°49'26.8""W",Tree (exposed),fell to ground,1066
5,1,48.70561,-121.82412,"48°42'20.2""N 121°49'26.8""W",Tree (exposed),,1066
6,1,48.70561,-121.82412,"48°42'20.2""N 121°49'26.8""W",Tree (exposed),dangling ~3in from snag,1066
7,1,48.70561,-121.82412,"48°42'20.2""N 121°49'26.8""W",Tree (exposed),,1066
8,2,48.71414,-121.83097,"48°42'50.9""N 121°49'51.5""W",Buried,,1178
9,2,48.71414,-121.83097,"48°42'50.9""N 121°49'51.5""W",Tree (shaded),,1178
10,3,48.71714,-121.83415,"48°42'50.9""N 121°50'02.9""W",Buried,"""N/A :(""",1227
11,3,48.71714,-121.83415,"48°42'50.9""N 121°50'02.9""W",Tree (shaded),,1227
12,4,48.72173,-121.83958,"48°43'18.2""N 121°50'22.5""W",Buried,Buried under 4< ft of snow. did not obtain,1470
13,5,48.73376,-121.84130,"48°44'01.5""N 121°50'28.7""W",Buried,,1692
14,5,48.73376,-121.84130,"48°44'01.5""N 121°50'28.7""W",Buried,"""N/A :("" then ""collected sensor #14"" written alongside 2022 iButton 17 site 7",1692
15,5,48.73376,-121.84130,"48°44'01.5""N 121°50'28.7""W",Buried,,1692
16,6,48.73860,-121.84148,"48°44'19.0""N 121°50'29.3""W",Buried,,1795
17,,,,,,,